Gen
Number of Bus,ID,GenMW
1006,1,120.0
1008,1,0
1009,1,222.0
1011,1,10.0
1021,1,231.5
1023,1,180.0
1024,1,16.8
1026,1,124.2
1033,BA,50.0
1035,2,89.5
1039,1,132.0
1042,1,121.9
1048,1,65.0
1049,1,64.0
1050,1,64.0
1051,1,64.0
1052,1,63.0
1057,1,120.0
1062,1,71.0
1063,1,71.0
1066,1,142.5
1067,1,58.8
1070,1,0
1072,1,206.0
1073,1,206.0
1074,1,166.7
1075,1,166.7
1076,1,158.2
1077,1,158.2
1090,GE,0
1090,2,36.0
2001,1,10.0
2013,1,211.2
2019,1,218.0
2023,1,87.0
2024,1,76.0
2042,1,79.6
2062,1,135.4
2063,1,50.0
2063,2,50.0
2071,1,161.0
2076,1,0
2078,1,112.5
2082,1,17.0
2083,1,19.7
2084,1,19.7
2085,1,0
2089,1,67.6
2091,1,0
2099,1,150.0
2103,1,287.0
2104,1,0
2105,1,0
2106,1,10.0
2115,1,204.0
2116,1,204.0
2117,1,153.0
2118,1,153.0
2119,1,145.0
2120,1,0
3004,1,37.5
3014,1,13.8
3017,1,418.9
3020,1,199.5
3028,1,0
3034,1,311.0
3039,1,209.0
3055,3,0
3056,2,223.5
3057,1,0
3060,2,214.5
3061,3,186.0
3062,1,149.5
3063,4,112.5
3065,1,182.4
3068,1,152.0
3071,1,170.2
3074,1,99.8
3081,1,0
3084,1,0
3086,1,75.0
3087,1,73.5
3092,1,200.0
3095,1,120.6
3098,1,182.4
3104,3,0
3105,1,0
3106,2,18.3
3110,1,0
3112,1,80.0
3113,2,0
3115,1,0
3117,1,120.0
3120,1,100.0
3122,1,197.0
4007,1,10.0
4010,1,201.6
4026,1,391.0
4030,1,655.0
4035,1,33.0
4041,1,0
4045,1,0
4046,2,10.0
4047,3,10.0
4050,1,272.6
4052,1,32.5
4058,1,155.0
4059,1,155.0
4060,1,150.0
4065,1,150.0
4067,1,10.0
4068,1,10.0
4069,1,26.6
4069,2,26.6
4069,3,12.0
4075,1,181.0
4076,1,0
4077,1,177.0
4082,2,319.0
4083,1,292.0
4084,3,157.0
4085,4,157.0
4090,1,10.0
4100,1,11.7
4100,2,0
4102,1,10.0
4103,1,0
4103,2,18.3
4103,3,18.3
4103,4,18.3
4103,5,18.3
4103,6,18.3
4103,7,18.3
4103,8,0
4103,9,18.3
4103,10,18.3
4103,11,18.3
4103,12,18.3
4105,1,0
4111,1,10.0
4115,4,0
4116,5,87.3
4121,1,45.0
4133,1,200.0
4153,1,283.2
4160,7,0
4161,8,157.0
4162,9,157.0
4166,1,201.6
4177,1,150.0
5012,1,18.8
5012,2,0
5012,3,0
5012,4,0
5012,5,0
5012,6,18.8
5012,7,0
5012,8,0
5012,9,0
5012,10,0
5012,11,0
5012,12,0
5020,BC,0
5029,1,0
5049,1,0
5049,2,0
5051,1,0
5057,2,0
5058,1,0
5080,1,0
5081,1,0
5089,1,0
5115,1,0
5154,1,0
5166,4,0
5167,5,0
5170,1,0
5174,1,0
5198,1,0
5206,1,0
5207,1,290.5
5208,1,0
5219,1,0
5231,1,0
5238,1,0
5243,1,0
5262,1,1205.0
5263,2,0
5281,1,0
5282,1,326.0
5283,1,0
5284,1,0
5290,1,0
5290,2,0
5319,1,0
5320,1,0
5321,1,0
5324,8,0
5325,6,0
5326,7,0
5360,1,0
5382,1,0
5383,1,0
5399,1,0
5403,ST,0
5404,1,0
5405,1,0
