from_bus_number,to_bus_number,from_area,to_area,category,dist,dela_dist,x,r,b,s1,s2,s3,fixed_cost
12667,1129,1,1,230_line,8.94,1,0.009677,0.00098,0.02019,371.4,544.6,694.1,8.94
12667,1117,1,1,230_line,37.23,1,0.043236,0.00458,0.10705,419.4,496.5,605.1,37.23
12667,12855,1,1,230_line,49.16,1,0.05588,0.00667,0.14973,412.8,468.4,580.5,131.59999999999997
12667,1033,1,1,230_line,49.39,1,0.039634,0.0052,0.20769,391.2,535.0,636.7,133.9
12667,1081,1,1,230_line,1.04,0,0.001294,0.00016,0.00152,418.6,603.6,707.5,1.04
12667,1115,1,1,230_line,28.77,1,0.029181,0.00318,0.09671,469.0,572.6,663.3,28.77
12667,1113,1,1,230_line,26.85,1,0.03244,0.0039,0.07892,376.9,431.2,720.9,26.85
12667,12804,1,1,230_line,24.24,2,0.031737,0.00351,0.07021,452.0,522.1,592.4,24.24
12667,1109,1,1,230_line,37.07,2,0.038546,0.0041,0.13354,504.7,529.0,693.4,37.07
12667,12680,1,1,230_line,24.19,2,0.02529,0.00295,0.08822,404.6,690.9,750.0,24.19
12667,1125,1,1,230_line,30.41,2,0.022309,0.00221,0.15595,408.1,430.6,748.6,30.41
12667,1099,1,1,230_line,27.81,2,0.031435,0.00318,0.08335,416.8,634.4,740.7,27.81
12667,1093,1,1,230_line,36.56,3,0.020878,0.00276,0.22228,439.5,540.0,746.9,36.56
12667,12823,1,1,230_line,47.98,3,0.052453,0.00578,0.16171,390.5,451.7,722.8,119.79999999999995
12667,1101,1,1,230_line,53.41,2,0.058224,0.00671,0.17138,394.1,517.1,674.1,174.09999999999997
12667,1053,1,1,230_line,48.27,3,0.03881,0.00422,0.19994,498.7,629.8,726.4,122.70000000000005
12667,12774,1,1,230_line,57.46,2,0.066798,0.00671,0.18838,465.2,510.8,694.0,214.60000000000002
12667,1131,1,1,230_line,46.81,2,0.039179,0.00401,0.1823,374.4,716.5,718.0,108.10000000000002
12667,1107,1,1,230_line,57.86,2,0.065526,0.00727,0.18612,429.8,433.4,677.5,218.60000000000002
12667,1127,1,1,230_line,55.76,2,0.054909,0.00542,0.1898,392.0,686.9,690.4,197.59999999999997
12667,1121,1,1,230_line,66.0,3,0.059423,0.00747,0.25512,342.2,476.7,608.7,300.0
12667,1004,1,1,230_line,99.52,2,0.100955,0.01318,0.30299,463.0,470.9,618.3,635.1999999999999
12667,12719,1,1,230_line,71.01,3,0.080887,0.00832,0.21523,398.8,437.4,691.4,350.1
12667,12752,1,1,230_line,121.1,3,0.0854,0.00952,0.58743,412.3,443.3,694.4,851.0
12667,12877,1,1,230_line,142.18,3,0.130215,0.01431,0.54011,437.9,551.2,673.5,1061.8000000000002
12667,2097,1,2,230_line,163.89,3,0.16318,0.0186,0.51,431.1,573.0,705.2,2557.7999999999993
12667,12814,1,1,230_line,103.09,3,0.125102,0.01249,0.33386,405.7,432.0,579.9,670.9000000000001
12667,1123,1,1,230_line,33.31,2,0.027526,0.00319,0.13651,421.0,561.6,763.8,33.31
12667,12788,1,1,230_line,94.33,3,0.070843,0.01015,0.43984,363.6,518.2,686.5,583.3
12667,3096,1,3,230_line,112.22,3,0.08609,0.00967,0.52524,347.4,473.6,595.8,1524.4
12667,12894,1,1,230_line,61.41,2,0.067422,0.00945,0.21163,482.9,556.7,722.4,254.09999999999997
12667,12594,1,1,230_line,57.72,2,0.051789,0.00674,0.23879,485.9,542.8,633.1,217.2
12667,12820,1,1,230_line,108.42,3,0.102334,0.01126,0.4305,501.0,543.6,635.0,724.1999999999999
12667,3050,1,3,230_line,168.03,3,0.199574,0.02035,0.52554,428.3,496.5,670.0,2640.6
12667,12891,1,1,230_line,77.17,3,0.068583,0.00708,0.28905,376.0,485.0,576.7,411.70000000000005
12667,12630,1,1,230_line,103.72,3,0.105924,0.01254,0.33022,406.1,511.4,752.2,677.2
12667,12811,1,1,230_line,79.32,3,0.074297,0.00891,0.32245,471.2,527.9,745.1,433.19999999999993
12667,1096,1,1,230_line,48.32,3,0.034603,0.00428,0.22021,459.2,472.9,623.5,123.19999999999999
12667,1119,1,1,230_line,70.62,3,0.090841,0.01003,0.20217,455.2,519.7,592.9,346.20000000000005
12667,12796,1,1,230_line,66.41,3,0.06557,0.00729,0.23951,424.9,469.1,611.4,304.09999999999997
12667,1133,1,1,230_line,73.61,3,0.070348,0.00859,0.26501,364.4,375.4,675.9,376.1
1004,12788,1,1,230_line,20.71,0,0.025572,0.00292,0.05772,444.7,608.5,713.0,20.71
1004,12814,1,1,230_line,17.25,0,0.015414,0.00168,0.07006,531.9,649.4,693.4,17.25
1004,1101,1,1,230_line,76.65,1,0.073204,0.00754,0.28216,427.5,453.7,684.2,406.5
1004,12719,1,1,230_line,30.82,1,0.03386,0.00375,0.08685,457.0,608.6,680.2,30.82
1004,1127,1,1,230_line,41.61,1,0.031278,0.00379,0.19521,398.7,567.8,744.9,56.099999999999994
1004,1117,1,1,230_line,60.61,1,0.068021,0.00706,0.1747,374.4,576.7,700.1,246.10000000000002
1004,3096,1,3,230_line,31.65,1,0.030606,0.00332,0.11922,394.4,647.8,682.0,63.3
1004,3133,1,3,230_line,43.44,2,0.03278,0.00401,0.22134,421.0,590.6,628.9,148.79999999999995
1004,12660,1,3,230_line,60.55,3,0.061578,0.0069,0.19687,390.5,581.9,629.9,491.0
1004,12898,1,3,230_line,43.79,2,0.043959,0.00501,0.15305,462.3,580.9,681.9,155.79999999999998
1004,3078,1,3,230_line,68.84,3,0.075859,0.01081,0.2137,454.2,471.4,626.2,656.8000000000002
1004,12767,1,3,230_line,48.2,2,0.032576,0.00359,0.23657,470.6,656.8,687.0,244.00000000000006
1004,1103,1,1,230_line,45.24,2,0.041468,0.00432,0.18429,373.3,556.0,648.1,92.40000000000002
1004,1133,1,1,230_line,49.26,3,0.049194,0.00517,0.18456,429.5,608.7,669.1,132.59999999999997
1004,1121,1,1,230_line,40.94,2,0.052969,0.00543,0.10522,495.2,571.4,631.9,49.39999999999998
1004,1111,1,1,230_line,64.17,3,0.072478,0.00718,0.2168,424.2,424.8,687.1,281.70000000000005
1004,12752,1,1,230_line,29.53,2,0.029356,0.00388,0.10109,448.9,592.7,661.1,29.53
1004,2097,1,2,230_line,63.77,2,0.074903,0.00674,0.18078,386.3,602.7,711.1,555.4000000000001
1004,12664,1,3,230_line,42.29,2,0.040397,0.00454,0.15773,345.4,655.8,673.3,125.79999999999998
1004,12721,1,3,230_line,66.36,3,0.050517,0.00479,0.29851,463.6,518.0,551.2,607.2
1004,3037,1,3,230_line,71.35,3,0.071411,0.00786,0.26188,479.9,674.4,687.9,707.0
1004,1107,1,1,230_line,68.54,3,0.070512,0.00741,0.2353,433.5,471.1,622.1,325.4000000000001
1004,1131,1,1,230_line,49.71,2,0.039383,0.00457,0.22544,387.0,435.4,621.3,137.10000000000002
1004,12823,1,1,230_line,91.58,2,0.075157,0.00761,0.39228,442.7,573.1,767.8,555.8
1004,1109,1,1,230_line,86.16,2,0.076103,0.00812,0.34419,470.4,508.9,733.2,501.5999999999999
1004,12877,1,1,230_line,199.07,2,0.212842,0.02392,0.71397,430.5,624.2,742.9,1630.6999999999998
1004,1115,1,1,230_line,67.95,2,0.078513,0.0102,0.22033,506.0,523.5,699.1,319.5
1004,1093,1,1,230_line,112.31,3,0.103068,0.01132,0.45281,429.7,539.9,726.6,763.0999999999999
1004,12835,1,1,230_line,165.97,3,0.17273,0.02136,0.54234,401.0,456.9,769.0,1299.7
1004,1125,1,1,230_line,102.97,3,0.111405,0.01396,0.36355,454.4,566.8,674.8,669.7
1004,12804,1,1,230_line,88.32,3,0.081572,0.00898,0.3433,471.5,487.7,700.9,523.1999999999999
1004,12680,1,1,230_line,81.87,3,0.085091,0.01115,0.29489,411.7,449.5,593.7,458.70000000000005
1004,1113,1,1,230_line,89.79,2,0.071651,0.0082,0.38715,444.2,455.4,605.9,537.9000000000001
1004,12891,1,1,230_line,170.25,3,0.095412,0.01103,1.02751,463.9,678.1,708.9,1342.5
1004,4146,1,4,230_line,444.48,3,0.439272,0.04661,1.65922,366.7,649.9,746.3,8169.6
1004,4014,1,4,230_line,359.93,3,0.471851,0.05053,0.92592,390.0,543.2,632.2,6478.599999999999
1004,4113,1,4,230_line,438.92,3,0.424725,0.04278,1.57525,421.1,600.3,602.3,8058.400000000001
1004,5395,1,5,230_line,147.32,3,0.194912,0.02044,0.38577,470.4,610.2,668.7,2226.3999999999996
1004,8105,1,8,230_line,418.42,3,0.314679,0.02941,1.96275,356.2,567.1,694.0,7648.400000000001
1004,1129,1,1,230_line,97.68,3,0.118158,0.0125,0.27406,411.8,557.0,652.3,616.8000000000002
1004,12855,1,1,230_line,139.88,3,0.132523,0.01509,0.51687,462.4,466.6,662.5,1038.8
1004,1033,1,1,230_line,136.02,3,0.097058,0.01126,0.6768,471.5,550.7,680.0,1000.2
1004,1081,1,1,230_line,90.1,3,0.073344,0.00939,0.43458,482.3,630.4,637.5,541.0
1004,1123,1,1,230_line,95.62,3,0.056588,0.00606,0.54207,441.8,519.9,692.4,596.2
12891,4014,1,4,230_line,286.74,1,0.136033,0.01425,2.0687,469.6,559.4,715.0,5014.799999999999
12891,12877,1,1,230_line,96.13,1,0.079753,0.00888,0.4124,494.2,613.2,627.9,601.3
12891,12835,1,1,230_line,20.49,0,0.018759,0.00241,0.07673,432.0,611.4,672.9,20.49
12891,3050,1,3,230_line,160.48,1,0.187365,0.0181,0.50768,429.3,549.0,603.4,2489.6
12891,1053,1,1,230_line,35.24,1,0.027343,0.00317,0.14827,392.0,573.2,655.6,35.24
12891,12774,1,1,230_line,35.1,0,0.037446,0.0038,0.11191,365.9,632.5,705.9,35.1
12891,12894,1,1,230_line,43.52,1,0.034816,0.00428,0.19153,378.2,559.9,641.1,75.20000000000003
12891,4004,1,4,230_line,337.56,2,0.273592,0.02873,1.53854,408.6,683.6,685.7,6031.2
12891,4113,1,4,230_line,359.25,2,0.391563,0.05019,1.2292,390.2,685.2,701.9,6465.0
12891,4131,1,4,230_line,309.74,2,0.153575,0.01778,2.35436,481.4,604.9,714.0,5474.799999999999
12891,12801,1,4,230_line,392.23,3,0.526768,0.04842,1.04985,531.9,640.0,695.2,7124.6
12891,6308,1,6,230_line,289.59,2,0.201202,0.02069,1.5339,384.1,465.9,590.1,5071.8
12891,6170,1,6,230_line,323.21,3,0.310671,0.03081,1.13223,343.0,431.2,623.5,5744.2
12891,6285,1,6,230_line,325.47,3,0.33472,0.0331,1.04373,462.3,608.8,620.8,5789.4000000000015
12891,6177,1,6,230_line,316.97,3,0.307186,0.0305,1.14925,427.6,572.7,633.3,5619.4000000000015
12891,3001,1,3,230_line,275.98,2,0.272133,0.02412,0.99193,355.6,373.5,653.9,4799.6
12891,4196,1,4,230_line,387.78,3,0.363056,0.03467,1.52514,449.8,629.1,700.4,7035.5999999999985
12891,4146,1,4,230_line,404.18,2,0.527037,0.05442,1.00427,432.4,534.7,576.2,7363.599999999999
12891,4024,1,4,230_line,372.51,3,0.395768,0.04315,1.1639,453.5,516.2,568.2,6730.200000000001
12891,12817,1,4,230_line,420.67,3,0.320092,0.03946,1.7228,376.7,452.6,647.6,7693.400000000001
12891,12823,1,1,230_line,89.14,2,0.104301,0.01155,0.26354,400.4,459.2,673.4,531.4
12891,1101,1,1,230_line,103.79,2,0.084185,0.00964,0.45533,426.4,523.9,716.6,677.9
12891,4073,1,4,230_line,498.59,2,0.560224,0.06396,1.59572,342.1,568.9,575.2,9251.8
12891,2097,1,2,230_line,235.49,2,0.173589,0.02205,1.0263,491.7,520.3,680.6,3989.8
12891,3018,1,3,230_line,160.75,2,0.183034,0.01644,0.54291,367.8,497.3,669.2,2495.0
12891,12820,1,1,230_line,114.55,2,0.115819,0.0137,0.42687,443.0,591.8,620.5,785.4999999999999
12891,1093,1,1,230_line,56.93,2,0.050435,0.00513,0.20784,417.4,496.2,601.8,209.3
12891,1109,1,1,230_line,90.41,3,0.046409,0.00473,0.5636,373.6,630.8,741.4,544.0999999999999
12891,1125,1,1,230_line,64.02,3,0.049239,0.0064,0.29503,521.0,559.4,691.3,280.19999999999993
12891,12752,1,1,230_line,185.02,3,0.182201,0.01798,0.69879,439.6,504.2,678.3,1490.2
12891,1117,1,1,230_line,110.44,3,0.109047,0.00994,0.38707,428.3,616.0,732.3,744.4000000000001
12891,1115,1,1,230_line,96.44,3,0.136286,0.01529,0.23776,438.9,509.9,660.0,604.4
12891,12814,1,1,230_line,189.54,3,0.176496,0.02276,0.64982,443.2,591.5,676.2,1535.3999999999999
12891,4039,1,4,230_line,492.41,3,0.362464,0.0397,2.46647,499.3,694.9,728.3,9128.2
12891,12664,1,3,230_line,193.04,3,0.215838,0.02565,0.60714,440.0,485.7,650.2,3140.7999999999997
12891,12660,1,3,230_line,199.63,3,0.216767,0.02417,0.67782,472.1,535.8,722.5,3272.6000000000004
12891,5395,1,5,230_line,266.58,3,0.279466,0.0275,0.94876,396.7,717.7,752.5,4611.599999999999
12891,3096,1,3,230_line,198.54,3,0.176868,0.01849,0.69458,385.9,552.5,688.5,3250.7999999999997
12891,1099,1,1,230_line,50.58,2,0.043572,0.00508,0.1993,484.1,660.3,762.8,145.79999999999998
12891,12791,1,1,230_line,138.75,3,0.181976,0.02416,0.3394,462.8,633.9,682.9,1027.5
12891,12630,1,1,230_line,126.28,3,0.108819,0.01185,0.50827,379.4,560.9,696.1,902.8
