Gen
Number of Bus,ID,GenMW
1006,1,0
1008,1,28.0
1009,1,0
1011,1,0
1021,1,0
1023,1,0
1024,1,0
1026,1,0
1033,BA,0
1035,2,0
1039,1,0
1042,1,0
1048,1,0
1049,1,0
1050,1,0
1051,1,0
1052,1,0
1057,1,0
1062,1,0
1063,1,0
1066,1,0
1067,1,0
1070,1,167.7
1072,1,0
1073,1,0
1074,1,0
1075,1,0
1076,1,0
1077,1,0
1090,GE,60.0
1090,2,0
2001,1,0
2013,1,0
2019,1,0
2023,1,0
2024,1,0
2042,1,0
2062,1,0
2063,1,0
2063,2,0
2071,1,0
2076,1,250.0
2078,1,0
2082,1,0
2083,1,0
2084,1,0
2085,1,19.7
2089,1,0
2091,1,30.2
2099,1,0
2103,1,0
2104,1,199.0
2105,1,199.0
2106,1,0
2115,1,0
2116,1,0
2117,1,0
2118,1,0
2119,1,0
2120,1,145.0
3004,1,0
3014,1,0
3017,1,0
3020,1,0
3028,1,200.0
3034,1,0
3039,1,0
3055,3,299.0
3056,2,0
3057,1,213.0
3060,2,0
3061,3,0
3062,1,0
3063,4,0
3065,1,0
3068,1,0
3071,1,0
3074,1,0
3081,1,249.0
3084,1,232.5
3086,1,0
3087,1,0
3092,1,0
3095,1,0
3098,1,0
3104,3,18.3
3105,1,18.3
3106,2,0
3110,1,155.4
3112,1,0
3113,2,69.6
3115,1,30.0
3117,1,0
3120,1,0
3122,1,0
4007,1,0
4010,1,0
4026,1,0
4030,1,0
4035,1,0
4041,1,10.0
4045,1,10.5
4046,2,0
4047,3,0
4050,1,0
4052,1,0
4058,1,0
4059,1,0
4060,1,0
4065,1,0
4067,1,0
4068,1,0
4069,1,0
4069,2,0
4069,3,0
4075,1,0
4076,1,177.0
4077,1,0
4082,2,0
4083,1,0
4084,3,0
4085,4,0
4090,1,0
4100,1,0
4100,2,11.7
4102,1,0
4103,1,18.3
4103,2,0
4103,3,0
4103,4,0
4103,5,0
4103,6,0
4103,7,0
4103,8,18.3
4103,9,0
4103,10,0
4103,11,0
4103,12,0
4105,1,180.0
4111,1,0
4115,4,90.1
4116,5,0
4121,1,0
4133,1,0
4153,1,0
4160,7,319.0
4161,8,0
